figure,panel_file,generator,provenance
Figure 1,figures/main/Figure 1. Experimental strategy and global fitness profiling.png,src/graph_analysis/summary-stats.ipynb,"Panel E global-fitness ridgelines (joypy) from src/graph_analysis/summary-stats.ipynb; schematic panels A/B/D created with BioRender (publication license); panel F structural render / ChemDraw artwork (no plotted data)"
Figure 2,figures/main/Figure 2. Fitness landscape graphs.png,src/graph_analysis/graph_builder/,Graph construction by graph_builder (author Devin Meng); node/edge layout rendered in Gephi
Figure 3A,figures/main/Figure 3A. AMP vs. AZT fitness with clinical and tested variants.png,src/figure_scripts/figure_3a.py,Reads data/processed + data/known_variants/encoded_variants.csv
Figure 3B,figures/main/Figure 3B. Sequence logo for AMP.png; figures/main/Figure 3B. Sequence logo for AZT.png,src/05_epistasis_figures.ipynb,Sequence logos (logomaker)
Figure 3C,figures/main/Figure 3C. Fitness in AMP vs. number of mutations.png,src/05_epistasis_figures.ipynb,
Figure 3D,figures/main/Figure 3D. Fitness in AZT vs. number of mutations.png,src/05_epistasis_figures.ipynb,
Figure 4,figures/main/Figure 4A..H. *.png,src/05_epistasis_figures.ipynb,Single/double-mutant fitness (A-D) + density grids and per-order R^2/rho (E-H)
Figure 5A/5C,figures/main/Figure 5A. SHAP *.png; figures/main/Figure 5C. Mean SHAP per mutation AMP.png,src/04_epistasis_amp_regression.ipynb,AMP SHAP (LightGBM)
Figure 5B/5D,figures/main/Figure 5B. SHAP *.png; figures/main/Figure 5D. Mean SHAP per mutation AZT.png,src/03_epistasis_azt_regression.ipynb,AZT SHAP (LightGBM)
Figure 6,figures/main/Figure 6. Evolutionary statistics.png,src/evolutionary_statistics/ + morcoslab/LGL-VAE,"Morcos-lab DCA: panels A/B/C/G/H via src/evolutionary_statistics/Figure6_evolutionary_statistics.ipynb (needs py-mfdca + the PF13354 MSA to run); LGL panels D/E/F via github.com/morcoslab/LGL-VAE. Source Data pending those inputs"
S1,figures/supplementary/figure_s01.png,(original submission — no in-repo generator),"Clinical mutational spectrum; retained verbatim from the accepted submission (no regeneration script in this repository)"
S2,figures/supplementary/figure_s02.png,si_figures/s02_mic/,"MIC panel (measured); reproducing data+code (CML_MIC_estimations.ipynb + plate data + plategig) in si_figures/s02_mic/. Published single-panel layout retained; see that folder's README"
S3,figures/supplementary/figure_s03.png,si_figures/s03_dose_response/analysis.py,"Dose-response of a representative library subset; code-native recreation from data/raw/ — differs from the frozen SI pixels (regenerated from code per the archive's use-code-output policy)"
S4,figures/supplementary/figure_s04.png,src/graph_analysis/ + Gephi,Graph-theoretic landscape view across concentrations
S5,figures/supplementary/figure_s05_amp.png; figures/supplementary/figure_s05_azt.png,src/05_epistasis_figures.ipynb,Context-dependent triple-mutant effects (AMP/AZT panels)
S6,figures/supplementary/figure_s06.png,contributors (F.M.),DCA Hamiltonian vs AUC-fitness correlation
S7,figures/supplementary/figure_s07.png,si_figures/s07_s08_ic50/,IC50 vs AUC-fitness (monoculture validation replot)
S8,figures/supplementary/figure_s08_amp.png; figures/supplementary/figure_s08_azt.png,si_figures/s07_s08_ic50/,IC50 per concentration (AMP/AZT)
S9,figures/supplementary/figure_s09.png,analysis/s09_s10_epistatic_order/analysis.py,Epistatic-order decomposition
S10,figures/supplementary/figure_s10.png,analysis/s09_s10_epistatic_order/analysis.py,Drug asymmetry at matched stringency
S11,figures/supplementary/figure_s11_amp.png; figures/supplementary/figure_s11_azt.png,analysis/s11_s12_concentration_grid/analysis.py,Pairwise-epistasis heatmaps
S12,figures/supplementary/figure_s12_amp.png; figures/supplementary/figure_s12_azt.png,analysis/s11_s12_concentration_grid/analysis.py,Measured-vs-predicted density
S13,figures/supplementary/figure_s13_amp.png; figures/supplementary/figure_s13_azt.png,analysis/s13_model_comparison/analysis.py,Model-class learning curves
S14,figures/supplementary/figure_s14_amp.png; figures/supplementary/figure_s14_azt.png,analysis/s14_mutation_holdout/analysis.py,Leave-one-mutation-out + Hamming-stratified holdout
S15,figures/supplementary/figure_s15_amp.png; figures/supplementary/figure_s15_azt.png,analysis/s15_classification_metrics/analysis.py,Classification metrics + RMSD grounding
S16,figures/supplementary/figure_s16_amp.png; figures/supplementary/figure_s16_azt.png,analysis/s16_replicate_reproducibility/analysis.py,Per-genotype %CV + replicate correlations
S17,figures/supplementary/figure_s17_amp.png; figures/supplementary/figure_s17_azt.png,analysis/s17_dose_response_low_count/analysis.py,Revised dose-response with low-read flagging
S18,figures/supplementary/figure_s18.png,contributors (Devin Meng),Peak-absorption diagnostic + neutrality-cutoff robustness (graph analysis)
